wavenumber         DET0         DET1
     -15.6     0.081927     0.049415
     -15.5     0.078894     0.052372
     -15.4     0.076702     0.055895
     -15.3     0.075409     0.059973
     -15.2     0.075020     0.064563
     -15.1     0.075589     0.069659
     -15.0     0.077114     0.075225
     -14.9     0.079606     0.081240
     -14.8     0.083095     0.087695
     -14.7     0.087548     0.094557
     -14.6     0.092991     0.101822
     -14.5     0.099387     0.109466
     -14.4     0.106718     0.117472
     -14.3     0.114980     0.125835
     -14.2     0.124114     0.134529
     -14.1     0.134113     0.143551
     -14.0     0.144913     0.152879
     -13.9     0.156471     0.162498
     -13.8     0.168752     0.172398
     -13.7     0.181680     0.182554
     -13.6     0.195216     0.192955
     -13.5     0.209281     0.203576
     -13.4     0.223812     0.214397
     -13.3     0.238750     0.225399
     -13.2     0.254010     0.236553
     -13.1     0.269531     0.247838
     -13.0     0.285229     0.259224
     -12.9     0.301033     0.270684
     -12.8     0.316865     0.282189
     -12.7     0.332650     0.293707
     -12.6     0.348310     0.305208
     -12.5     0.363773     0.316658
     -12.4     0.378968     0.328025
     -12.3     0.393814     0.339273
     -12.2     0.408256     0.350372
     -12.1     0.422212     0.361280
     -12.0     0.435632     0.371969
     -11.9     0.448458     0.382404
     -11.8     0.460619     0.392543
     -11.7     0.472085     0.402363
     -11.6     0.482789     0.411819
     -11.5     0.492707     0.420888
     -11.4     0.501803     0.429541
     -11.3     0.510026     0.437737
     -11.2     0.517380     0.445463
     -11.1     0.523817     0.452679
     -11.0     0.529344     0.459375
     -10.9     0.533954     0.465529
     -10.8     0.537621     0.471112
     -10.7     0.540379     0.476125
     -10.6     0.542207     0.480540
     -10.5     0.543139     0.484359
     -10.4     0.543194     0.487579
     -10.3     0.542373     0.490180
     -10.2     0.540729     0.492182
     -10.1     0.538267     0.493567
     -10.0     0.535037     0.494354
      -9.9     0.531076     0.494550
      -9.8     0.526403     0.494149
      -9.7     0.521080     0.493179
      -9.6     0.515125     0.491635
      -9.5     0.508595     0.489543
      -9.4     0.501528     0.486915
      -9.3     0.493954     0.483755
      -9.2     0.485925     0.480093
      -9.1     0.477468     0.475929
      -9.0     0.468628     0.471289
      -8.9     0.459440     0.466188
      -8.8     0.449930     0.460631
      -8.7     0.440137     0.454646
      -8.6     0.430082     0.448232
      -8.5     0.419798     0.441415
      -8.4     0.409308     0.434207
      -8.3     0.398630     0.426611
      -8.2     0.387790     0.418652
      -8.1     0.376802     0.410330
      -8.0     0.365685     0.401666
      -7.9     0.354456     0.392672
      -7.8     0.343126     0.383352
      -7.7     0.331712     0.373727
      -7.6     0.320226     0.363803
      -7.5     0.308682     0.353600
      -7.4     0.297096     0.343132
      -7.3     0.285482     0.332411
      -7.2     0.273856     0.321462
      -7.1     0.262238     0.310300
      -7.0     0.250646     0.298952
      -6.9     0.239104     0.287444
      -6.8     0.227638     0.275802
      -6.7     0.216273     0.264062
      -6.6     0.205044     0.252259
      -6.5     0.193983     0.240433
      -6.4     0.183126     0.228628
      -6.3     0.172521     0.216896
      -6.2     0.162204     0.205285
      -6.1     0.152233     0.193858
      -6.0     0.142652     0.182673
      -5.9     0.133294     0.171529
      -5.8     0.124890     0.161303
      -5.7     0.117019     0.151504
